,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
68,4.067,4.0975,4.0762,4.0453,4.0872,4.0575,4.061,4.1107,4.0645,4.0942,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69,4.0685,4.0985,4.0762,4.0453,4.0878,4.0575,4.061,4.1107,4.0645,4.0947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
70,4.0706,4.0985,4.0783,4.0453,4.0878,4.06,4.061,4.1107,4.065,4.0947,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
71,4.0731,4.1057,4.0794,4.0453,4.0904,4.0635,4.0625,4.1135,4.065,4.0969,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
72,4.0747,4.1057,4.0799,4.0453,4.0904,4.066,4.0625,4.1141,4.066,4.0985,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,4.0757,4.1062,4.0825,4.0453,4.0904,4.0685,4.0635,4.1141,4.0685,4.0996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
74,4.0773,4.109,4.0835,4.0453,4.0942,4.0696,4.0685,4.1141,4.0685,4.0996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
75,4.0794,4.1101,4.0846,4.0453,4.0942,4.0706,4.0696,4.1163,4.0742,4.1013,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
76,4.0799,4.1118,4.0846,4.0453,4.0975,4.0721,4.0721,4.1169,4.0762,4.1018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
77,4.082,4.1135,4.0862,4.0516,4.1002,4.0742,4.0721,4.1169,4.0783,4.1029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
78,4.0835,4.1198,4.0862,4.0521,4.1013,4.0742,4.0731,4.118,4.0794,4.1079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
79,4.0846,4.1203,4.0878,4.0521,4.1018,4.0762,4.0731,4.1198,4.0799,4.1107,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
80,4.0846,4.1215,4.0878,4.0531,4.1029,4.0773,4.0762,4.1198,4.0799,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81,4.0878,4.1238,4.0904,4.054,4.1029,4.0783,4.0762,4.1203,4.0799,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82,4.0888,4.1267,4.0904,4.0555,4.1046,4.0794,4.0783,4.1203,4.0872,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
83,4.0899,4.1267,4.0942,4.0565,4.1079,4.0794,4.0799,4.1215,4.0878,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
84,4.0899,4.129,4.0947,4.0585,4.109,4.0794,4.0825,4.1232,4.0915,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
85,4.0899,4.1308,4.0947,4.0585,4.1118,4.0794,4.0825,4.1249,4.0915,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
86,4.0904,4.1308,4.0958,4.0585,4.1118,4.0799,4.0846,4.129,4.0931,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
87,4.0904,4.1319,4.0958,4.0585,4.1141,4.0799,4.0851,4.1302,4.0931,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
88,4.0904,4.1325,4.0975,4.0585,4.1141,4.0825,4.0904,4.1325,4.0942,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,4.0942,4.1325,4.0975,4.0585,4.1152,4.0835,4.0904,4.1337,4.0985,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
90,4.0958,4.1337,4.0985,4.0585,4.1163,4.0862,4.0942,4.1343,4.0985,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
91,4.0969,4.1343,4.1046,4.0585,4.118,4.0872,4.0947,4.1355,4.1002,4.1118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
92,4.0969,4.1373,4.1046,4.062,4.118,4.0872,4.0969,4.1379,4.1002,4.1124,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
93,4.0975,4.1379,4.1062,4.0625,4.1198,4.0878,4.0969,4.1379,4.1002,4.1135,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
94,4.0975,4.1391,4.1079,4.0711,4.1203,4.0878,4.0969,4.1415,4.1002,4.1152,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
95,4.0996,4.1391,4.1079,4.0747,4.1215,4.0888,4.0969,4.1433,4.1013,4.1163,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
96,4.1029,4.1391,4.109,4.0757,4.1238,4.0926,4.0975,4.1457,4.1013,4.118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
97,4.1046,4.1397,4.109,4.082,4.1249,4.0931,4.0985,4.1469,4.1018,4.118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
98,4.1046,4.1397,4.109,4.082,4.1249,4.0931,4.0985,4.1469,4.1018,4.118,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
99,4.1062,4.1409,4.1101,4.0825,4.1267,4.0942,4.0985,4.1475,4.1057,4.1186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
100,4.1073,4.1415,4.1118,4.0835,4.1308,4.0942,4.0985,4.1494,4.1057,4.1198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
101,4.1073,4.1475,4.1118,4.0835,4.1355,4.0942,4.0985,4.1494,4.1062,4.1198,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
102,4.1073,4.15,4.1135,4.0835,4.1355,4.0958,4.0985,4.1512,4.1079,4.1215,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
103,4.1101,4.1518,4.1141,4.0904,4.1409,4.0969,4.0985,4.153,4.109,4.1221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
104,4.1101,4.1518,4.1141,4.0904,4.1415,4.0996,4.0985,4.1574,4.1118,4.1232,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
105,4.1118,4.1543,4.1152,4.0915,4.1415,4.0996,4.0985,4.1618,4.1118,4.1249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
106,4.1118,4.1561,4.1152,4.0931,4.1421,4.1002,4.0985,4.1618,4.1118,4.1255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
107,4.1118,4.158,4.1163,4.0931,4.1433,4.1029,4.0985,4.1643,4.1118,4.1267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
108,4.1118,4.158,4.1163,4.0947,4.1451,4.1029,4.0985,4.1643,4.1118,4.1267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
109,4.1118,4.1599,4.1186,4.0996,4.1457,4.104,4.0985,4.1643,4.1118,4.1267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
110,4.1118,4.1649,4.1186,4.0996,4.1475,4.1057,4.0996,4.1649,4.1118,4.129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
111,4.1118,4.1649,4.1198,4.0996,4.1487,4.1057,4.0996,4.1681,4.1118,4.1308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
112,4.1118,4.1669,4.1221,4.0996,4.15,4.1062,4.0996,4.1681,4.1118,4.1325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
113,4.1118,4.1681,4.1249,4.0996,4.1518,4.1062,4.1018,4.1681,4.1141,4.1325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
114,4.1118,4.1694,4.1284,4.0996,4.153,4.1062,4.1018,4.1694,4.1141,4.1343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
115,4.1118,4.1707,4.129,4.1013,4.153,4.1079,4.104,4.172,4.1152,4.1343,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
116,4.1118,4.1713,4.129,4.1013,4.1555,4.109,4.1046,4.172,4.1152,4.1355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
117,4.1118,4.1713,4.1325,4.1013,4.1555,4.109,4.1073,4.1733,4.1152,4.1379,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
118,4.1118,4.1739,4.1355,4.1046,4.1561,4.1118,4.1079,4.1746,4.1152,4.1391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
119,4.1118,4.1765,4.1391,4.1046,4.1574,4.1118,4.1107,4.1765,4.1169,4.1391,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,4.1118,4.1811,4.1409,4.1046,4.1574,4.1163,4.1107,4.1765,4.118,4.1397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,4.1118,4.1818,4.1409,4.1046,4.1593,4.1163,4.1107,4.1765,4.1186,4.1397,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,4.1118,4.1851,4.1421,4.1046,4.1599,4.118,4.1118,4.1765,4.1198,4.1409,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,4.1118,4.1851,4.1433,4.1046,4.1599,4.1186,4.1118,4.1818,4.1215,4.1415,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,4.1118,4.1858,4.1451,4.1046,4.1637,4.1186,4.1118,4.1851,4.1238,4.1421,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,4.1118,4.1878,4.1512,4.1046,4.1643,4.1198,4.1118,4.1911,4.1273,4.1433,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
