,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster_length0,cluster_length1,cluster_length2,cluster_length3,cluster_length4,cluster_length5,cluster_length6,cluster_length7,cluster_length8,cluster_length9
119,3.0742,3.1878,-1,3.068,3.209,3.058,3.3706,3.109,3.1439,3.0757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
120,3.0747,3.1884,-1,3.0685,3.2097,3.0585,3.3809,3.1096,3.1439,3.0757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
121,3.0747,3.1884,-1,3.0685,3.2104,3.0585,3.3809,3.1113,3.1445,3.0757,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
122,3.0757,3.1884,-1,3.0691,3.2104,3.0595,3.3872,3.1118,3.1451,3.0768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
123,3.0778,3.1891,-1,3.0701,3.2118,3.0615,3.3872,3.1118,3.1463,3.0768,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
124,3.0788,3.1904,-1,3.0701,3.2118,3.0615,3.4012,3.1135,3.1463,3.0773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
125,3.0794,3.1911,-1,3.0706,3.2125,3.062,3.4089,3.1141,3.1487,3.0773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
126,3.0804,3.1911,-1,3.0711,3.2154,3.0625,3.4306,3.1141,3.1487,3.0804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
127,3.0825,3.1938,-1,3.0731,3.2154,3.0635,3.4306,3.1146,3.1487,3.0804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
128,3.0835,3.1952,-1,3.0731,3.2161,3.0645,3.4318,3.1163,3.15,3.0804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
129,3.0835,3.1965,-1,3.0737,3.2161,3.0645,3.4318,3.1163,3.1549,3.0809,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
130,3.0835,3.1993,-1,3.0742,3.2197,3.0655,3.4342,3.1169,3.1555,3.0825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
131,3.0851,3.202,-1,3.0747,3.2204,3.0655,3.4401,3.1198,3.1555,3.0825,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
132,3.0851,3.2027,-1,3.0752,3.2262,3.0665,3.4473,3.1198,3.158,3.0835,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
133,3.0851,3.2069,-1,3.0757,3.2262,3.067,3.4559,3.1226,3.1593,3.0846,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
134,3.0862,3.2069,-1,3.0757,3.2262,3.067,3.4763,3.1238,3.1605,3.0851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
135,3.0867,3.2069,-1,3.0768,3.2262,3.0685,3.4935,3.1249,3.1605,3.0851,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
136,3.0872,3.209,-1,3.0773,3.2321,3.0691,3.4949,3.1249,3.1612,3.0867,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
137,3.0872,3.2125,-1,3.0783,3.2358,3.0711,3.5031,3.1249,3.1618,3.0872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138,3.0872,3.214,-1,3.0788,3.2388,3.0721,3.5086,3.1255,3.1624,3.0888,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
139,3.0883,3.2197,-1,3.0788,3.2418,3.0721,3.5143,3.1261,3.1637,3.0899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
140,3.0888,3.2226,-1,3.0788,3.2628,3.0721,3.5171,3.1273,3.1637,3.0899,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
141,3.0899,3.224,-1,3.0788,3.2668,3.0731,3.5214,3.1273,3.1649,3.0904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
142,3.091,3.2262,-1,3.0804,3.2708,3.0737,3.5302,3.1296,3.1662,3.0904,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
143,3.0937,3.2277,-1,3.0809,3.2708,3.0752,3.5317,3.1302,3.1675,3.0915,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
